spine_no,cover_img,title,url,director,country,year
40,https://s3.amazonaws.com/criterion-production/films/7858f806be01113ec3f26840d2ec0cab/zcQiVXuZFCisdXVhLeyD96Hxr6Vqp8_thumbnail.jpg,Armageddon,https://www.criterion.com/films/578-armageddon,Michael Bay,United States,1998
,https://s3.amazonaws.com/criterion-production/films/af35fbaa142b0ed056c2a307f871ac4f/jRfPShY8FWDX11Ioqxdj8uv9zXBhfr_thumbnail.jpg,Army,https://www.criterion.com/films/27831-army,Keisuke Kinoshita,Japan,1944
385,https://s3.amazonaws.com/criterion-production/films/c9f771825b3863450ecfec9e8b440f05/YKQb8TICsflKZMMU2SEbsOH8x5eZrj_thumbnail.jpg,Army of Shadows,https://www.criterion.com/films/153-army-of-shadows,Jean-Pierre Melville,France,1969
1063,https://s3.amazonaws.com/criterion-production/films/0f3694509c49a8cffc7fffc44da41395/iR5TtaldgQWaNA1qhEduedUroBNOGA_thumbnail.jpg,The Ascent,https://www.criterion.com/films/561-the-ascent,Larisa Shepitko,Soviet Union,1977
285,https://s3.amazonaws.com/criterion-production/films/79fdfc7b70bc68259dd9c75d8a12684d/AtP0Z6p4KnQINmkSp0Q4bOYxH08q1D_thumbnail.jpg,Ashes and Diamonds,https://www.criterion.com/films/342-ashes-and-diamonds,Andrzej Wajda,Poland,1958
,https://s3.amazonaws.com/criterion-production/films/7edb26a038606a245923e00ebf021e8b/YPclVfOu1MHXf3BpLQDmyglqBpV9Px_thumbnail.jpg,As Long as You’ve Got Your Health,https://www.criterion.com/films/28399-as-long-as-you-ve-got-your-health,Pierre Etaix,France,1966
847,https://s3.amazonaws.com/criterion-production/films/5915895741543b0081c1afe507308335/WLD2n1FIo9i7BTFQRoTryfcBlF1rse_thumbnail.jpg,The Asphalt Jungle,https://www.criterion.com/films/28690-the-asphalt-jungle,John Huston,United States,1950
,https://s3.amazonaws.com/criterion-production/films/3245780c70bdcb50837ab523eb326ed8/8aRcIFQTJSeDJeaapOopIt3e9J7xzs_thumbnail.jpg,As Tears Go By,https://www.criterion.com/films/29478-as-tears-go-by,Wong Kar Wai,Hong Kong,1988
,https://s3.amazonaws.com/criterion-production/films/357230c66272f37ef9bb89fed70af96d/hMaBKU4xZqKE4ziVhxCEZUEb7PnL2S_thumbnail.jpg,L’Atalante,https://www.criterion.com/films/27758-l-atalante,Jean Vigo,France,1934
366,https://s3.amazonaws.com/criterion-production/films/ed3e04be1a68ad7e7438a4a16d69a556/a268Pr0Wtb1F3INlbaTesMbAGJcxGg_thumbnail.jpg,The Atomic Submarine,https://www.criterion.com/films/804-the-atomic-submarine,Spencer G. Bennet,United States,1959
297,https://s3.amazonaws.com/criterion-production/films/3bfeccc88c1706a5dd401df39582d7cf/eM5j469VIjNvWJjFs4OGOnOpTBbpXJ_thumbnail.jpg,Au hasard Balthazar,https://www.criterion.com/films/455-au-hasard-balthazar,Robert Bresson,France,1966
330,https://s3.amazonaws.com/criterion-production/films/ef0efc13c424e4fab6dc50a43dac4ed7/QvHxIlkd6X09v1giwAZb3VfhbXkunF_thumbnail.jpg,Au revoir les enfants,https://www.criterion.com/films/549-au-revoir-les-enfants,Louis Malle,France,1987
446,https://s3.amazonaws.com/criterion-production/films/a8ea8ea6c23887c9172372d22d52a87a/L1PCM8Z0TUWLZ3RLdDMcMOOvKvPGl2_thumbnail.jpg,An Autumn Afternoon,https://www.criterion.com/films/784-an-autumn-afternoon,Yasujiro Ozu,Japan,1962
60,https://s3.amazonaws.com/criterion-production/films/95d0fe890da5c6008298dc39ca2195b4/oTvnw5EnwHQLpwttOLxX4yAOWY7o0j_thumbnail.jpg,Autumn Sonata,https://www.criterion.com/films/605-autumn-sonata,Ingmar Bergman,Sweden,1978
98,https://s3.amazonaws.com/criterion-production/films/28d6495a960ffeca7c74c5a56d6e36e2/f26v2AQ2lv4qS52sB63uNszRHHhBDp_thumbnail.jpg,L’avventura,https://www.criterion.com/films/209-l-avventura,Michelangelo Antonioni,Italy,1960
917,https://s3.amazonaws.com/criterion-production/films/c6405a3dc564179df63c65d55066a4ae/9eQtQWCuRD4Bz04ICaKTd207nco97Z_thumbnail.jpg,The Awful Truth,https://www.criterion.com/films/27904-the-awful-truth,Leo McCarey,United States,1937
914,https://s3.amazonaws.com/criterion-production/films/eae2794b63eb565a9518d0ddc6dc4800/MfEB5BHM5873COrnchiYFPxygZYNP8_thumbnail.jpg,Baal,https://www.criterion.com/films/29060-baal,Volker Schlöndorff,West Germany,1970
665,https://s3.amazonaws.com/criterion-production/films/aca8036540d101ce120920bb83b906a1/RoF9kSXwRWFuCBu2KdSfS1v6oIsLis_thumbnail.jpg,Babette’s Feast,https://www.criterion.com/films/27894-babette-s-feast,Gabriel Axel,Denmark,1987
,https://s3.amazonaws.com/criterion-production/films/81aefdc48e19d12c4fa0664e7f575b59/ZwhEP5AiwjZhejZ0ytK4Ot53TtIMWF_thumbnail.jpg,Babo 73,https://www.criterion.com/films/27938-babo-73,Robert Downey Sr.,United States,1964
651,https://s3.amazonaws.com/criterion-production/films/a54f64b1b0ef213b885f58bb6bd0a52c/mIKKJYC8m5eLi8ybTuoSZOyyCtoukK_thumbnail.jpg,Badlands,https://www.criterion.com/films/28406-badlands,Terrence Malick,United States,1973
319,https://s3.amazonaws.com/criterion-production/films/4c98b16aad002b6f4e9edf0e63d42406/Pk4xUf3hPeb3bakmQm69237kn0XfQ9_thumbnail.jpg,The Bad Sleep Well,https://www.criterion.com/films/765-the-bad-sleep-well,Akira Kurosawa,Japan,1960
